,Rank,Date,Team,Acquired,Relinquished,Notes
11530,11530,2008-01-28,MEM,,Mike Conley,placed on IL with bruised chest
11531,11531,2008-01-28,MEM,Pau Gasol,,activated from IL
11532,11532,2008-01-28,MEM,Stromile Swift,,activated from IL
11533,11533,2008-01-28,DAL,,Devin Harris,placed on IL with bone bruise on left ankle
11534,11534,2008-01-28,DAL,Maurice Ager,,activated from IL
11535,11535,2008-01-29,ATL,,Mario West,placed on IL
11536,11536,2008-01-29,ATL,Solomon Jones,,activated from IL
11537,11537,2008-01-29,HOU,,Kirk Snyder,placed on IL
11538,11538,2008-01-29,HOU,,Tracy McGrady,placed on IL with flu
11539,11539,2008-01-29,HOU,Mike James,,activated from IL (P)
11540,11540,2008-01-29,HOU,Yao Ming,,activated form IL
11541,11541,2008-01-29,SEA,Robert Swift,,activated from IL
11542,11542,2008-01-29,SAS,,Tony Parker,placed on IL with bone spur in left heel
11543,11543,2008-01-29,SAS,Ian Mahinmi,,activated from IL
11544,11544,2008-01-29,PHO,,Alando Tucker,placed on IL
11545,11545,2008-01-29,PHO,Grant Hill,,activated from IL
11546,11546,2008-01-29,MIN,,Mark Madsen,placed on IL
11547,11547,2008-01-29,MIN,Michael Doleac,,activated from IL
11548,11548,2008-01-29,MIN,Randy Foye,,activated from IL
11549,11549,2008-01-29,GSW,,Chris Webber,placed on IL
11550,11550,2008-01-30,CLE,,Anderson Varejão,placed on IL with sprained left ankle
11551,11551,2008-01-30,CLE,Cedric Simmons,,activated
11552,11552,2008-01-30,NOH,,Morris Peterson,placed on IL with viral infection
11553,11553,2008-01-30,NOH,Hassan Adams,,activated from IL
11554,11554,2008-01-30,NYK,,Jerome James,placed on IL
11555,11555,2008-01-30,NYK,Fred Jones,,activated from IL
11556,11556,2008-01-30,ORL,,James Augustine,placed on IL
11557,11557,2008-01-30,ORL,Jameer Nelson,,activated from IL
11558,11558,2008-01-30,TOR,,Darrick Martin,placed on IL
11559,11559,2008-01-30,TOR,Maceo Baston,,activated from IL
11560,11560,2008-01-30,MIN,,Rashad McCants,placed on IL with flu
11561,11561,2008-01-30,MIN,Mark Madsen,,activated from IL
11562,11562,2008-01-31,CLE,,LeBron James,placed on IL with sprained right ankle
11563,11563,2008-01-31,CLE,Shannon Brown,,activated from IL
11564,11564,2008-02-01,PHI,,Jason Smith,placed on IL with sprained left ankle
11565,11565,2008-02-01,PHI,Lou Amundson,,activated from IL
11566,11566,2008-02-01,NOH,,Hassan Adams,placed on IL
11567,11567,2008-02-01,NOH,,Marcus Vinicius,placed on IL
11568,11568,2008-02-01,NOH,Bobby Jackson,,activated from IL
11569,11569,2008-02-01,NOH,Morris Peterson,,activated from IL
11570,11570,2008-02-01,NYK,,Eddy Curry,placed on IL with flu-like symptoms
11571,11571,2008-02-01,NYK,,Quentin Richardson,placed on IL with flu-like symptoms
11572,11572,2008-02-01,NYK,Jerome James,,activated from IL
11573,11573,2008-02-01,NYK,Randolph Morris,,activated from IL
11574,11574,2008-02-01,IND,,Andre Owens,placed on IL
11575,11575,2008-02-01,IND,Jamaal Tinsley,,activated from IL
11576,11576,2008-02-01,HOU,,Mike James,placed on IL
11577,11577,2008-02-01,HOU,Tracy McGrady,,activated from IL
11578,11578,2008-02-01,MIN,,Mark Madsen,placed on IL
11579,11579,2008-02-01,MIN,Rashad McCants,,activated from IL
11580,11580,2008-02-02,MIL,,Michael Redd,placed on IL with strained left knee
11581,11581,2008-02-02,MIL,Desmond Mason,,activated from IL
11582,11582,2008-02-02,CHI,,Demetris Nichols,placed on IL
11583,11583,2008-02-02,CHI,Ben Gordon,,activated from IL
11584,11584,2008-02-02,CLE,,Shannon Brown,placed on IL
11585,11585,2008-02-02,CLE,LeBron James,,activated from IL
11586,11586,2008-02-02,ATL,,Solomon Jones,placed on IL
11587,11587,2008-02-02,ATL,Mario West,,activated from IL
11588,11588,2008-02-02,NYK,,Randolph Morris,placed on IL
11589,11589,2008-02-02,NYK,Quentin Richardson,,activated from IL
11590,11590,2008-02-02,NJN,,Jamaal Magloire,placed on IL
11591,11591,2008-02-02,NJN,Nenad Krstić,,activated from IL
11592,11592,2008-02-02,HOU,,Luther Head,placed on IL with groin injury
11593,11593,2008-02-02,HOU,Mike James,,activated from IL
11594,11594,2008-02-02,MIL,,Ramon Sessions,placed on IL with fractured left hand (date approximate)
11595,11595,2008-02-04,POR,,James Jones,placed on IL with sore left knee
11596,11596,2008-02-04,POR,Josh McRoberts,,activated from IL
11597,11597,2008-02-04,CHI,,Tyrus Thomas,placed on IL with sprained left foot
11598,11598,2008-02-04,CHI,Demetris Nichols,,activated from IL
11599,11599,2008-02-04,NOH,,Hilton Armstrong,placed on IL
11600,11600,2008-02-04,NYK,,Nate Robinson,placed on IL with bruised left quadriceps
11601,11601,2008-02-04,NYK,Eddy Curry,,activated from IL
11602,11602,2008-02-04,TOR,,Maceo Baston,placed on IL
11603,11603,2008-02-04,TOR,T.J. Ford,,activated from IL
11604,11604,2008-02-05,PHI,,Lou Amundson,placed on IL
11605,11605,2008-02-05,PHI,Jason Smith,,activated from IL
11606,11606,2008-02-05,NJN,,Stromile Swift,placed on IL
11607,11607,2008-02-05,NJN,Jamaal Magloire,,activated from IL
11608,11608,2008-02-06,CHI,,Viktor Khryapa,placed on IL
11609,11609,2008-02-06,CHI,Tyrus Thomas,,activated from IL
11610,11610,2008-02-06,MIA,,Shawn Marion,placed on IL (date approximate)
11611,11611,2008-02-06,NOH,,Tyson Chandler,placed on IL with flu
11612,11612,2008-02-06,NOH,Hilton Armstrong,,activated from IL
11613,11613,2008-02-06,SAC,,Brad Miller,placed on IL with right index finger injury
11614,11614,2008-02-06,SAC,Kenny Thomas,,activated from IL
11615,11615,2008-02-06,NYK,,Quentin Richardson,placed on IL with sprained right ankle
11616,11616,2008-02-06,NYK,Nate Robinson,,activated from IL
11617,11617,2008-02-06,IND,,Jamaal Tinsley,placed on IL with sore right knee
11618,11618,2008-02-06,IND,Andre Owens,,activated from IL
11619,11619,2008-02-06,PHO,,Shaquille O'Neal,placed on IL
11620,11620,2008-02-06,PHO,Alando Tucker,,activated from IL
11621,11621,2008-02-07,CLE,,Drew Gooden,placed on IL with groin injury
11622,11622,2008-02-07,CLE,Shannon Brown,,activated from IL
11623,11623,2008-02-07,GSW,,Brandan Wright,placed on IL
11624,11624,2008-02-07,GSW,,Patrick O'Bryant,placed on IL
11625,11625,2008-02-07,GSW,Austin Croshere,,activated from IL
11626,11626,2008-02-07,GSW,Chris Webber,,activated from IL
11627,11627,2008-02-08,CHA,,Derek Anderson,placed on IL with sore right knee
11628,11628,2008-02-08,CHA,Jermareo Davidson,,activated from IL
11629,11629,2008-02-08,MEM,Mike Conley,,activated from IL
11630,11630,2008-02-08,SAC,,Kenny Thomas,placed on IL
11631,11631,2008-02-08,SAC,Brad Miller,,activated from IL
11632,11632,2008-02-08,NYK,,Nate Robinson,placed on IL with upper respiratory infection
11633,11633,2008-02-08,NYK,Randolph Morris,,activated from IL
11634,11634,2008-02-08,DAL,,Erick Dampier,placed on IL with sprained right ankle
11635,11635,2008-02-08,DAL,Jerry Stackhouse,,activated from IL
11636,11636,2008-02-08,NJN,,Jamaal Magloire,placed on IL
11637,11637,2008-02-08,NJN,Stromile Swift,,activated from IL
11638,11638,2008-02-09,MIL,,Mo Williams,placed on IL with flu
11639,11639,2008-02-09,MIL,Michael Redd,,activated from IL
11640,11640,2008-02-09,SAC,,Francisco García,placed on IL with strained lower back
11641,11641,2008-02-09,SAC,Kenny Thomas,,activated from IL
11642,11642,2008-02-09,NYK,,Randolph Morris,placed on IL
11643,11643,2008-02-09,NYK,Quentin Richardson,,activated from IL
11644,11644,2008-02-10,BOS,,Kendrick Perkins,placed on IL with dislocated left shoulder
11645,11645,2008-02-10,BOS,Scot Pollard,,activated from IL
11646,11646,2008-02-10,MIA,,Udonis Haslem,placed on IL with sprained left ankle
11647,11647,2008-02-10,MIA,Shawn Marion,,activated from IL
11648,11648,2008-02-10,DAL,,Maurice Ager,placed on IL
11649,11649,2008-02-10,DAL,Erick Dampier,,activated from IL
11650,11650,2008-02-11,MIL,,Awvee Storey,placed on IL
11651,11651,2008-02-11,MIL,Mo Williams,,activated from IL
11652,11652,2008-02-11,CLE,,Daniel Gibson,placed on IL with strained right hamstring
11653,11653,2008-02-11,CLE,Drew Gooden,,activated from IL
11654,11654,2008-02-11,ORL,,Keyon Dooling,placed on IL with foot injury
11655,11655,2008-02-11,ORL,James Augustine,,activated from IL
11656,11656,2008-02-11,TOR,,Joey Graham,placed on IL
11657,11657,2008-02-11,TOR,Darrick Martin,,activated from IL
11658,11658,2008-02-12,NOH,,Morris Peterson,placed on IL with back spasms
11659,11659,2008-02-12,NOH,Tyson Chandler,,activated from IL
11660,11660,2008-02-12,MIN,,Rashad McCants,placed on IL with sprained right ankle
11661,11661,2008-02-12,MIN,Mark Madsen,,activated from IL
11662,11662,2008-02-13,MIL,,Charlie Villanueva,placed on IL with sprained right ankle
11663,11663,2008-02-13,MIL,Awvee Storey,,activated from IL
11664,11664,2008-02-13,ATL,,Josh Childress,placed on IL with hyperextended right knee
11665,11665,2008-02-13,ATL,Lorenzen Wright,,activated from IL
11666,11666,2008-02-13,NYK,,Jerome James,placed on IL
11667,11667,2008-02-13,NYK,Nate Robinson,,activated from IL
11668,11668,2008-02-13,ORL,,James Augustine,placed on IL
11669,11669,2008-02-13,ORL,Keyon Dooling,,activated from IL
11670,11670,2008-02-13,DAL,,Jerry Stackhouse,placed on IL with strained right hamstring
11671,11671,2008-02-13,DAL,Nick Fazekas,,activated from IL
11672,11672,2008-02-13,TOR,,T.J. Ford,placed on IL with sprained right wrist
11673,11673,2008-02-13,TOR,Maceo Baston,,activated from IL
11674,11674,2008-02-13,MIN,,Mark Madsen,placed on IL
11675,11675,2008-02-13,MIN,Rashad McCants,,activated from IL
11676,11676,2008-02-13,GSW,,Chris Webber,placed on IL with leg injury
11677,11677,2008-02-13,GSW,Brandan Wright,,activated from IL
11678,11678,2008-02-19,PHI,,Calvin Booth,placed on IL
11679,11679,2008-02-19,PHI,Lou Amundson,,activated from IL
11680,11680,2008-02-19,CHA,,Ryan Hollins,placed on IL
11681,11681,2008-02-19,CHA,Derek Anderson,,activated from IL
11682,11682,2008-02-19,CLE,,Shannon Brown,placed on IL
11683,11683,2008-02-19,CLE,Daniel Gibson,,activated from IL
11684,11684,2008-02-19,BOS,,Brian Scalabrine,placed on IL with strained right groin
11685,11685,2008-02-19,BOS,Kendrick Perkins,,activated from IL
11686,11686,2008-02-19,ATL,Josh Childress,,activated from IL
11687,11687,2008-02-19,ATL,Solomon Jones,,activated from IL
11688,11688,2008-02-19,SAC,,Kenny Thomas,placed on IL
11689,11689,2008-02-19,SAC,,Tyronn Lue,placed on IL with left calf injury
11690,11690,2008-02-19,SAC,Francisco García,,activated from IL
11691,11691,2008-02-19,NYK,,Wilson Chandler,placed on IL
11692,11692,2008-02-19,NYK,Jerome James,,activated from IL
11693,11693,2008-02-19,HOU,,Mike James,placed on IL
11694,11694,2008-02-19,HOU,Luther Head,,activated from IL
11695,11695,2008-02-19,SEA,,Kevin Durant,placed on IL with flu
11696,11696,2008-02-19,SEA,Mickaël Gelabale,,activated from IL
11697,11697,2008-02-19,MIN,,Michael Doleac,placed on IL
11698,11698,2008-02-19,MIN,Chris Richard,,activated from IL
11699,11699,2008-02-19,GSW,,Marco Belinelli,placed on IL
11700,11700,2008-02-19,GSW,Chris Webber,,activated from IL
11701,11701,2008-02-20,PHI,,Lou Amundson,placed on IL
11702,11702,2008-02-20,PHI,Calvin Booth,,activated from IL
11703,11703,2008-02-20,MIL,,Awvee Storey,placed on IL
11704,11704,2008-02-20,MIL,Charlie Villanueva,,activated from IL
11705,11705,2008-02-20,CHI,,Demetris Nichols,placed on IL
11706,11706,2008-02-20,CHI,Luol Deng,,activated from IL
11707,11707,2008-02-20,MEM,,Mike Miller,placed on IL with back injury
11708,11708,2008-02-20,NOH,,Marcus Vinicius,placed on IL
11709,11709,2008-02-20,NOH,Morris Peterson,,activated from IL
11710,11710,2008-02-20,NYK,,Jerome James,placed on IL
11711,11711,2008-02-20,NYK,Wilson Chandler,,activated from IL
11712,11712,2008-02-20,NJN,,Devin Harris,placed on IL with sprained left ankle
11713,11713,2008-02-20,NJN,,Keith Van Horn,placed on IL
11714,11714,2008-02-20,NJN,,Stromile Swift,placed on IL (with flu?)
11715,11715,2008-02-20,NJN,Jamaal Magloire,,activated from IL
11716,11716,2008-02-20,PHO,Shaquille O'Neal,,activated from IL
11717,11717,2008-02-20,GSW,,Stephen Jackson,placed on IL with sprained left ankle
11718,11718,2008-02-20,GSW,Marco Belinelli,,activated from IL
11719,11719,2008-02-21,SEA,,Francisco Elson,placed on IL
11720,11720,2008-02-21,SEA,Kevin Durant,,activated from IL
11721,11721,2008-02-21,SAS,,Kurt Thomas,placed on IL
11722,11722,2008-02-21,MIN,,Antoine Walker,placed on IL
11723,11723,2008-02-21,MIN,Theo Ratliff,,activated from IL
11724,11724,2008-02-22,PHI,,Reggie Evans,placed on IL
11725,11725,2008-02-22,PHI,Lou Amundson,,activated from IL
11726,11726,2008-02-22,CLE,,Daniel Gibson,placed on IL with sprained left ankle
11727,11727,2008-02-22,DAL,,Antoine Wright,placed on IL
11728,11728,2008-02-22,DAL,Jerry Stackhouse,,activated from IL
11729,11729,2008-02-22,TOR,,Darrick Martin,placed on IL
11730,11730,2008-02-22,TOR,,Primož Brezec,placed on IL
11731,11731,2008-02-22,TOR,Joey Graham,,activated from IL
11732,11732,2008-02-22,TOR,T.J. Ford,,activated from IL
11733,11733,2008-02-22,SEA,,Robert Swift,placed on IL with torn meniscus in right knee
11734,11734,2008-02-22,SEA,Francisco Elson,,activated from IL
11735,11735,2008-02-22,GSW,,Andris Biedriņš,placed on IL recovering from surgery to remove appendix
11736,11736,2008-02-22,GSW,Patrick O'Bryant,,activated from IL
11737,11737,2008-02-23,PHI,,Lou Amundson,placed on IL
11738,11738,2008-02-23,PHI,Reggie Evans,,activated from IL
11739,11739,2008-02-23,CHA,,Gerald Wallace,placed on IL with concussion
11740,11740,2008-02-23,CHA,Ryan Hollins,,activated from IL
11741,11741,2008-02-23,MIA,,Joel Anthony,placed on IL
11742,11742,2008-02-23,MIA,Udonis Haslem,,activated from IL
11743,11743,2008-02-23,NOH,,Julian Wright,placed on IL
11744,11744,2008-02-24,CHI,,Shannon Brown,placed on IL
11745,11745,2008-02-24,TOR,,Maceo Baston,placed on IL
11746,11746,2008-02-24,TOR,Primož Brezec,,activated from IL
11747,11747,2008-02-24,HOU,,Hassan Adams,placed on IL
11748,11748,2008-02-24,HOU,,Gerald Green,placed on IL
11749,11749,2008-02-24,PHO,,Alando Tucker,placed on IL
11750,11750,2008-02-25,CHI,,Cedric Simmons,placed on IL
11751,11751,2008-02-25,CHI,Demetris Nichols,,activated from IL
11752,11752,2008-02-25,DAL,,Eddie Jones,placed on IL with stomach illness
11753,11753,2008-02-25,DAL,Antoine Wright,,activated from IL
11754,11754,2008-02-25,SAS,Kurt Thomas,,activated from IL
11755,11755,2008-02-26,CLE,,Zydrunas Ilgauskas,placed on IL with upper respiratory infection
11756,11756,2008-02-26,CLE,Anderson Varejão,,activated from IL
11757,11757,2008-02-26,HOU,,Bobby Jones,placed on IL
11758,11758,2008-02-26,HOU,,Yao Ming,placed on IL with stress fracture in left foot
11759,11759,2008-02-26,HOU,Gerald Green,,activated from IL
11760,11760,2008-02-26,SEA,,Earl Watson,placed on IL with flu
11761,11761,2008-02-26,MIN,,Greg Buckner,placed on IL
11762,11762,2008-02-26,MIN,Michael Doleac,,activated from IL
11763,11763,2008-02-26,GSW,,Patrick O'Bryant,placed on IL
11764,11764,2008-02-26,GSW,Stephen Jackson,,activated from IL
11765,11765,2008-02-27,PHI,,Jason Smith,placed on IL with sprained left ankle
11766,11766,2008-02-27,PHI,Lou Amundson,,activated from IL
11767,11767,2008-02-27,CLE,,Kaniel Dickens,placed on IL
11768,11768,2008-02-27,CLE,Zydrunas Ilgauskas,,activated from IL
11769,11769,2008-02-27,BOS,,Tony Allen,placed on IL with strained right calf (flu per CBC)
11770,11770,2008-02-27,BOS,Brian Scalabrine,,activated from IL
11771,11771,2008-02-27,NOH,,Bonzi Wells,placed on IL with bruised/sore right Achilles tendon
11772,11772,2008-02-27,NOH,Julian Wright,,activated from IL
11773,11773,2008-02-27,BOS,,P.J. Brown,placed on IL
11774,11774,2008-02-28,DAL,,Antoine Wright,placed on IL
11775,11775,2008-02-28,DAL,,Jamaal Magloire,placed on IL
11776,11776,2008-02-28,DAL,Eddie Jones,,activated from IL
11777,11777,2008-02-28,NJN,,Maurice Ager,placed on IL
11778,11778,2008-02-28,NJN,Devin Harris,,activated from IL
11779,11779,2008-02-28,NJN,Stromile Swift,,activated from IL
11780,11780,2008-02-29,PHI,Shavlik Randolph,,activated from IL
11781,11781,2008-02-29,POR,,Josh McRoberts,placed on IL
11782,11782,2008-02-29,POR,James Jones,,activated from IL
11783,11783,2008-02-29,CHI,,Demetris Nichols,placed on IL
11784,11784,2008-02-29,CHI,,Thabo Sefolosha,placed on IL with sore groin
11785,11785,2008-02-29,CHI,Cedric Simmons,,activated from IL
11786,11786,2008-02-29,CHI,Shannon Brown,,activated from IL
11787,11787,2008-02-29,CLE,Kaniel Dickens,,activated from IL
11788,11788,2008-02-29,SAC,,Lorenzen Wright,placed on IL
11789,11789,2008-02-29,SAC,Kenny Thomas,,activated from IL
11790,11790,2008-02-29,DAL,,Eddie Jones,placed on IL with left knee tendinitis
11791,11791,2008-02-29,DAL,Antoine Wright,,activated from IL
11792,11792,2008-02-29,DEN,Chucky Atkins,,activated from IL
11793,11793,2008-02-29,HOU,,Gerald Green,placed on IL
11794,11794,2008-02-29,HOU,Bobby Jones,,activated from IL
11795,11795,2008-02-29,SEA,,Adrian Griffin,placed on IL
11796,11796,2008-02-29,SEA,Earl Watson,,activated from IL
11797,11797,2008-02-29,MIN,,Kirk Snyder,placed on IL
11798,11798,2008-02-29,MIN,Mark Madsen,,activated from IL
11799,11799,2008-02-29,GSW,,Marco Belinelli,placed on IL
11800,11800,2008-02-29,GSW,Patrick O'Bryant,,activated from IL
11801,11801,2008-03-01,PHI,,Kevin Ollie,placed on IL with left Achilles tendinitis
11802,11802,2008-03-01,PHI,Jason Smith,,activated from IL
11803,11803,2008-03-01,ORL,,Jameer Nelson,placed on IL with strained hamstring
11804,11804,2008-03-01,ORL,,Keyon Dooling,placed on IL with sprained left foot
11805,11805,2008-03-01,ORL,James Augustine,,activated from IL
11806,11806,2008-03-01,ORL,Marcin Gortat,,activated from IL
11807,11807,2008-03-02,CLE,,Zydrunas Ilgauskas,placed on IL with strained back
11808,11808,2008-03-02,BOS,,Gabe Pruitt,placed on IL
11809,11809,2008-03-02,BOS,Tony Allen,,activated from IL
11810,11810,2008-03-02,NOH,,Julian Wright,placed on IL
11811,11811,2008-03-02,NOH,Bonzi Wells,,activated from IL
11812,11812,2008-03-02,DAL,,Antoine Wright,placed on IL
11813,11813,2008-03-02,DAL,Jamaal Magloire,,activated from IL
11814,11814,2008-03-02,TOR,,Chris Bosh,placed on IL with sore right knee
11815,11815,2008-03-02,TOR,Maceo Baston,,activated from IL
11816,11816,2008-03-02,MIN,,Marko Jarić,placed on IL with right thigh/knee injury
11817,11817,2008-03-02,MIN,Kirk Snyder,,activated from IL
11818,11818,2008-03-03,PHI,,Shavlik Randolph,placed on IL
11819,11819,2008-03-03,PHI,Kevin Ollie,,activated from IL
11820,11820,2008-03-03,NOH,,Bonzi Wells,placed on IL with sore right Achilles tendon
11821,11821,2008-03-03,NOH,Julian Wright,,activated from IL
11822,11822,2008-03-03,NYK,,Zach Randolph,placed on IL with bruised right foot
11823,11823,2008-03-03,NYK,Randolph Morris,,activated from IL
